"ITTER107","Territory","TIPO_DATO_AVQ","Data type","MISURA_AVQ","Measure","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","0_CHRONIC_BRONC","chronic patients - suffering from chronic bronchitis","HSC","per 100 people with the same characteristics","2018","2018",6,,
"IT","Italy","0_ALEAST_2CRON","persons  at least two chronic disease","THV","thousands value","2018","2018",12909,,
"IT","Italy","0_CHRONIC_OSTEO","chronic patients - with osteoporosis","HSC","per 100 people with the same characteristics","2018","2018",8.1,,
"IT","Italy","0_ALEAST_2CRON","persons  at least two chronic disease","HSC","per 100 people with the same characteristics","2018","2018",21.5,,
"IT","Italy","0_CHRONIC_ALLER","chronic patients - suffering from allergic diseases","THV","thousands value","2018","2018",6994,,
"IT","Italy","0_CHRONIC_BRONC","chronic patients - suffering from chronic bronchitis","THV","thousands value","2018","2018",3623,,
"IT","Italy","0_GOOD_H","persons  in good health","THV","thousands value","2018","2018",41492,,
"IT","Italy","0_CHRONIC_GH","persons  with chronic diseases in good health","HSC","per 100 people with the same characteristics","2018","2018",42.6,,
"IT","Italy","0_CHRONIC_ARTH","chronic patients - suffering from osteoarthritis, arthritis","THV","thousands value","2018","2018",9887,,
"IT","Italy","0_CHRONIC_HYP","chronic patients - with hypertension","HSC","per 100 people with the same characteristics","2018","2018",18.1,,
"IT","Italy","0_CHRONIC_OSTEO","chronic patients - with osteoporosis","THV","thousands value","2018","2018",4897,,
"IT","Italy","0_CHRONIC_GH","persons  with chronic diseases in good health","THV","thousands value","2018","2018",10461,,
"IT","Italy","0_ALEAST_1CRON","persons  at least a chronic disease","THV","thousands value","2018","2018",24564,,
"IT","Italy","0_CHRONIC_ALLER","chronic patients - suffering from allergic diseases","HSC","per 100 people with the same characteristics","2018","2018",11.6,,
"IT","Italy","0_CHRONIC_GASTR","chronic patients - suffering from gastric or duodenal ulcer","THV","thousands value","2018","2018",1520,,
"IT","Italy","0_CHRONIC_NERVOUS","chronic patients - suffering from nervous disorders","HSC","per 100 people with the same characteristics","2018","2018",4.6,,
"IT","Italy","0_CHRONIC_HEART","chronic patients - suffering from heart disease","HSC","per 100 people with the same characteristics","2018","2018",4,,
"IT","Italy","0_CHRONIC_HEART","chronic patients - suffering from heart disease","THV","thousands value","2018","2018",2400,,
"IT","Italy","0_CHRONIC_HYP","chronic patients - with hypertension","THV","thousands value","2018","2018",10876,,
"IT","Italy","0_GOOD_H","persons  in good health","HSC","per 100 people with the same characteristics","2018","2018",68.9,,
"IT","Italy","0_CHRONIC_ARTH","chronic patients - suffering from osteoarthritis, arthritis","HSC","per 100 people with the same characteristics","2018","2018",16.4,,
"IT","Italy","0_CHRONIC_NERVOUS","chronic patients - suffering from nervous disorders","THV","thousands value","2018","2018",2755,,
"IT","Italy","0_CHRONIC_DIAB","chronic patients - suffering from diabetes","HSC","per 100 people with the same characteristics","2018","2018",5.6,,
"IT","Italy","0_ALEAST_1CRON","persons  at least a chronic disease","HSC","per 100 people with the same characteristics","2018","2018",40.8,,
"IT","Italy","0_CHRONIC_DIAB","chronic patients - suffering from diabetes","THV","thousands value","2018","2018",3355,,
"IT","Italy","0_CHRONIC_GASTR","chronic patients - suffering from gastric or duodenal ulcer","HSC","per 100 people with the same characteristics","2018","2018",2.5,,
"ITG1","Sicilia","0_CHRONIC_OSTEO","chronic patients - with osteoporosis","THV","thousands value","2018","2018",456,,
"ITF","Sud","0_CHRONIC_ALLER","chronic patients - suffering from allergic diseases","THV","thousands value","2018","2018",1610,,
"ITF2","Molise","0_CHRONIC_GH","persons  with chronic diseases in good health","HSC","per 100 people with the same characteristics","2018","2018",37.2,,
"ITD","Nord-est","0_CHRONIC_DIAB","chronic patients - suffering from diabetes","HSC","per 100 people with the same characteristics","2018","2018",4.8,,
"ITD5","Emilia-Romagna","0_CHRONIC_GASTR","chronic patients - suffering from gastric or duodenal ulcer","THV","thousands value","2018","2018",130,,
"ITE","Centro (I)","0_CHRONIC_OSTEO","chronic patients - with osteoporosis","THV","thousands value","2018","2018",984,,
"3","metropolitan area - suburbs","0_CHRONIC_GASTR","chronic patients - suffering from gastric or duodenal ulcer","THV","thousands value","2018","2018",195,,
"ITC1","Piemonte","0_CHRONIC_GH","persons  with chronic diseases in good health","HSC","per 100 people with the same characteristics","2018","2018",41.7,,
"ITCD","Nord","0_ALEAST_1CRON","persons  at least a chronic disease","THV","thousands value","2018","2018",11542,,
"ITF1","Abruzzo","0_CHRONIC_HEART","chronic patients - suffering from heart disease","THV","thousands value","2018","2018",48,,
"ITE2","Umbria","0_CHRONIC_ARTH","chronic patients - suffering from osteoarthritis, arthritis","HSC","per 100 people with the same characteristics","2018","2018",21,,
"ITF5","Basilicata","0_ALEAST_2CRON","persons  at least two chronic disease","THV","thousands value","2018","2018",135,,
"ITD2","Provincia Autonoma Trento","0_CHRONIC_BRONC","chronic patients - suffering from chronic bronchitis","HSC","per 100 people with the same characteristics","2018","2018",4.7,,
"ITF","Sud","0_CHRONIC_GASTR","chronic patients - suffering from gastric or duodenal ulcer","HSC","per 100 people with the same characteristics","2018","2018",2.3,,
"ITE3","Marche","0_CHRONIC_HYP","chronic patients - with hypertension","THV","thousands value","2018","2018",227,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","0_CHRONIC_ARTH","chronic patients - suffering from osteoarthritis, arthritis","THV","thousands value","2018","2018",21,,
"ITC","Nord-ovest","0_CHRONIC_OSTEO","chronic patients - with osteoporosis","THV","thousands value","2018","2018",1277,,
"ITF","Sud","0_CHRONIC_HYP","chronic patients - with hypertension","HSC","per 100 people with the same characteristics","2018","2018",19,,
"ITD2","Provincia Autonoma Trento","0_GOOD_H","persons  in good health","HSC","per 100 people with the same characteristics","2018","2018",77.5,,
"ITG","Isole","0_CHRONIC_OSTEO","chronic patients - with osteoporosis","THV","thousands value","2018","2018",659,,
"ITE","Centro (I)","0_ALEAST_2CRON","persons  at least two chronic disease","THV","thousands value","2018","2018",2534,,
"ITF5","Basilicata","0_CHRONIC_OSTEO","chronic patients - with osteoporosis","THV","thousands value","2018","2018",55,,
"ITG1","Sicilia","0_CHRONIC_GH","persons  with chronic diseases in good health","HSC","per 100 people with the same characteristics","2018","2018",31.9,,
"ITD5","Emilia-Romagna","0_CHRONIC_HYP","chronic patients - with hypertension","THV","thousands value","2018","2018",762,,
"ITF1","Abruzzo","0_CHRONIC_DIAB","chronic patients - suffering from diabetes","HSC","per 100 people with the same characteristics","2018","2018",7.5,,
"ITD","Nord-est","0_CHRONIC_DIAB","chronic patients - suffering from diabetes","THV","thousands value","2018","2018",554,,
"2","metropolitan area - centre","0_CHRONIC_OSTEO","chronic patients - with osteoporosis","HSC","per 100 people with the same characteristics","2018","2018",9.3,,
"ITE1","Toscana","0_ALEAST_1CRON","persons  at least a chronic disease","THV","thousands value","2018","2018",1522,,
"ITD5","Emilia-Romagna","0_CHRONIC_ARTH","chronic patients - suffering from osteoarthritis, arthritis","HSC","per 100 people with the same characteristics","2018","2018",17.2,,
"ITF6","Calabria","0_CHRONIC_GH","persons  with chronic diseases in good health","HSC","per 100 people with the same characteristics","2018","2018",30.3,,
"2","metropolitan area - centre","0_CHRONIC_OSTEO","chronic patients - with osteoporosis","THV","thousands value","2018","2018",847,,
"ITF5","Basilicata","0_CHRONIC_GH","persons  with chronic diseases in good health","HSC","per 100 people with the same characteristics","2018","2018",37.9,,
"ITC4","Lombardia","0_CHRONIC_HEART","chronic patients - suffering from heart disease","THV","thousands value","2018","2018",413,,
"ITD","Nord-est","0_GOOD_H","persons  in good health","HSC","per 100 people with the same characteristics","2018","2018",70.3,,
"ITE4","Lazio","0_CHRONIC_HEART","chronic patients - suffering from heart disease","THV","thousands value","2018","2018",199,,
"ITD4","Friuli-Venezia Giulia","0_CHRONIC_BRONC","chronic patients - suffering from chronic bronchitis","THV","thousands value","2018","2018",74,,
"ITE4","Lazio","0_CHRONIC_NERVOUS","chronic patients - suffering from nervous disorders","HSC","per 100 people with the same characteristics","2018","2018",4.5,,
